City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
42,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,2.3,clear sky
43,Mana,GF,5.6592,-53.7767,74.39,93,100,7.78,overcast clouds
44,Geraldton,AU,-28.7667,114.6,86.41,42,0,17.27,clear sky
45,Grand Gaube,MU,-20.0064,57.6608,83.37,65,9,8.01,clear sky
46,Saint George,US,37.1041,-113.5841,43.79,78,0,0.0,clear sky
47,Port Elizabeth,ZA,-33.918,25.5701,69.31,83,0,4.61,clear sky
48,Bubaque,GW,11.2833,-15.8333,79.5,52,99,24.02,overcast clouds
49,Iqaluit,CA,63.7506,-68.5145,-22.27,69,75,25.32,broken clouds
50,Buchanan,LR,5.8808,-10.0467,77.09,87,22,4.18,few clouds
51,Richards Bay,ZA,-28.783,32.0377,70.88,78,0,9.71,clear sky
52,Raga,SS,8.4596,25.678,62.87,28,68,4.38,broken clouds
53,Banda Aceh,ID,5.5577,95.3222,83.1,66,29,7.92,scattered clouds
54,Qaanaaq,GL,77.484,-69.3632,-13.47,98,100,2.35,overcast clouds
55,Saint-Augustin,CA,51.226,-58.6502,7.36,78,82,6.2,broken clouds
56,Clyde River,CA,70.4692,-68.5914,-25.37,75,0,13.8,haze
57,Gore,NZ,-46.1028,168.9436,81.68,35,0,5.7,clear sky
58,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,35,0,9.22,clear sky
59,Longyearbyen,SJ,78.2186,15.6401,10.87,94,100,5.03,overcast clouds
60,Victoria,HK,22.2855,114.1577,71.26,76,98,11.01,overcast clouds
61,Povolzhskiy,RU,53.5854,49.7629,-20.58,100,46,3.65,scattered clouds
62,Oruro,BO,-17.9833,-67.15,46.24,71,100,6.58,overcast clouds
63,Mari-Turek,RU,56.7895,49.6235,-35.21,99,21,5.21,few clouds
64,Orangeburg,US,33.4918,-80.8557,54.82,81,75,6.91,broken clouds
65,Seeboden,AT,46.8219,13.495,40.68,99,100,0.67,overcast clouds
66,Castro,BR,-24.7911,-50.0119,57.94,96,50,6.91,scattered clouds
67,Cariamanga,EC,-4.3333,-79.55,52.68,87,99,2.15,overcast clouds
68,Koygorodok,RU,60.445,50.9968,-35.77,99,46,2.95,scattered clouds
69,Yashkul,RU,46.1711,45.3435,10.27,69,5,4.18,clear sky
70,Laguna,US,38.421,-121.4238,57.18,87,100,10.36,overcast clouds
71,Velesin,CZ,48.8295,14.4625,42.48,93,100,6.53,overcast clouds
72,Ceres,US,37.5949,-120.9577,58.05,87,20,9.22,light rain
73,Buenaventura,CO,3.8801,-77.0312,72.88,96,100,3.15,light rain
74,Uyuni,BO,-20.4597,-66.825,49.77,41,0,6.51,clear sky
75,Kavaratti,IN,10.5669,72.642,82.4,62,1,10.78,clear sky
76,Saint-Honore,CA,48.5334,-71.0824,19.42,76,99,8.05,light snow
77,Collingwood,CA,44.4834,-80.2164,30.52,80,94,3.44,overcast clouds
78,Bandarbeyla,SO,9.4942,50.8122,76.95,68,27,16.82,scattered clouds
79,Penzance,GB,50.1186,-5.5371,45.28,80,77,34.65,broken clouds
80,Rio Grande,BR,-32.035,-52.0986,69.26,77,16,12.41,few clouds
81,Galle,LK,6.0367,80.217,80.98,76,35,2.84,scattered clouds
82,Cape Town,ZA,-33.9258,18.4232,65.1,87,0,5.75,clear sky
83,Moussoro,TD,13.6408,16.4901,61.93,21,64,11.59,broken clouds
84,Muisne,EC,0.6,-80.0333,75.38,86,97,6.62,light rain
85,Eloi Mendes,BR,-21.61,-45.5653,62.92,97,100,3.29,overcast clouds
86,Klaksvik,FO,62.2266,-6.589,43.72,77,92,21.7,overcast clouds
